Year,Region,NMFS Name,Scientific Name,Pounds,Dollars
2018,Gulf,"OCTOPUS, ATLANTIC WHITE-SPOTTED ",OCTOPUS MACROPUS,NA,NA
2018,Gulf,"OCTOPUS, CARIBBEAN REEF ",OCTOPUS BRIAREUS,111,"1,419"
2018,Gulf,"OCTOPUS, COMMON ",OCTOPUS VULGARIS,415,"2,665"
2018,Gulf,OCTOPUSES **,OCTOPODIDAE,"6,189","21,350"
2018,Gulf,OILFISH ,RUVETTUS PRETIOSUS,NA,NA
2018,Gulf,"OYSTER, ATLANTIC THORNY ",SPONDYLUS AMERICANUS,25,144
2018,Gulf,"OYSTER, EASTERN ",CRASSOSTREA VIRGINICA,"15,328,515","104,073,888"
2018,Gulf,PALAEMONETES **,PALAEMONETES,NA,NA
2018,Gulf,"PARROTFISH, BLUE ",SCARUS COERULEUS,37,"1,019"
2018,Gulf,"PARROTFISH, MIDNIGHT ",SCARUS COELESTINUS,25,714
2018,Gulf,"PARROTFISH, PRINCESS ",SCARUS TAENIOPTERUS,46,691
2018,Gulf,"PARROTFISH, QUEEN ",SCARUS VETULA,NA,NA
2018,Gulf,"PARROTFISH, RAINBOW ",SCARUS GUACAMAIA,38,812
2018,Gulf,"PARROTFISH, REDBAND ",SPARISOMA AUROFRENATUM,126,513
2018,Gulf,"PARROTFISH, STOPLIGHT ",SPARISOMA VIRIDE,133,"1,970"
2018,Gulf,"PARROTFISH, STRIPED ",SCARUS ISERI,142,266
