Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
ODF,0.09447955592254584,Other demersal fish,Mesopelagic,Demersal,11388.498477331745,16064.773516745172,17.769746727094173,202370733.54408276,285466956.6206917
ODF,0.13625465770590775,Other demersal fish,Mesopelagic,Demersal,8967.59515570913,13215.294935828773,17.769746727094173,159351894.6680679,234832443.93352756
ODF,0.19650104792801815,Other demersal fish,Mesopelagic,Demersal,6302.28459988679,9981.990882461381,17.769746727094173,111990001.1420543,177377449.813502
ODF,0.28338599565639055,Other demersal fish,Mesopelagic,Demersal,3700.1228657454726,6578.791341894565,17.769746727094173,65750246.18342693,116903455.91586645
ODF,0.4086880114938722,Other demersal fish,Mesopelagic,Demersal,1625.123386094384,3448.1693779907364,17.769746727094173,28878030.97117488,61273096.51901724
ODF,0.5893935949514477,Other demersal fish,Mesopelagic,Demersal,453.7982671968271,1217.9308828695227,17.769746727094173,8063880.273281826,21642323.31969762
ODF,0.85,Other demersal fish,Mesopelagic,Demersal,67.54028127057666,230.8016645091728,17.769746727094173,1200173.6920548496,4101287.1225197613
PIN,9.999999999999997e-6,Pinfish,Demersal,Demersal,1567.7983347754862,1567.2958469348985,5.347007638374442,8383029.671475255,8380342.865153442
PIN,1.4421602258335023e-5,Pinfish,Demersal,Demersal,1567.82634099781,1567.4681173585482,5.347007638374442,8383179.420959942,8381263.996424563
PIN,2.0798261169761385e-5,Pinfish,Demersal,Demersal,1567.9962871120392,1567.563625379959,5.347007638374442,8384088.124130838,8381774.678544573
PIN,2.9994425025527246e-5,Pinfish,Demersal,Demersal,1567.9551168318999,1567.7155802674315,5.347007638374442,8383867.986328459,8382587.1824885765
PIN,4.3256766768560436e-5,Pinfish,Demersal,Demersal,1568.2482178954415,1567.476095989898,5.347007638374442,8385435.199954031,8381306.658227335
PIN,6.238318853177415e-5,Pinfish,Demersal,Demersal,1568.094050478805,1567.867985516842,5.347007638374442,8384610.865599688,8383402.094521303
PIN,8.996655326119738e-5,Pinfish,Demersal,Demersal,1568.5895969112757,1567.9171071870217,5.347007638374442,8387260.556159278,8383664.748466963
PIN,1.2974618476863025e-4,Pinfish,Demersal,Demersal,1568.91939562764,1568.4445066138212,5.347007638374442,8389023.992414804,8386484.757230534
PIN,1.8711478712696313e-4,Pinfish,Demersal,Demersal,1569.241103795674,1568.8116837220564,5.347007638374442,8390744.16844661,8388448.056032904
PIN,2.698495036598089e-4,Pinfish,Demersal,Demersal,1569.92207025509,1569.4344943506283,5.347007638374442,8394385.301306583,8391778.22922114
PIN,3.891662211390886e-4,Pinfish,Demersal,Demersal,1570.9897349381772,1570.253118696059,5.347007638374442,8400094.112522272,8396155.419849116
PIN,5.612400453647188e-4,Pinfish,Demersal,Demersal,1571.9224957420035,1571.3844530315528,5.347007638374442,8405081.59166511,8402204.673182556
PIN,8.09398070569988e-4,Pinfish,Demersal,Demersal,1573.4476142321682,1572.9831036409078,5.347007638374442,8413236.411881445,8410752.67020187
PIN,0.001167281704242415,Pinfish,Demersal,Demersal,1575.7029278764699,1575.020702154854,5.347007638374442,8425295.591164457,8421647.725019882
